name,time,settingskey,settingsvalue
MSCSettings,1698828479000000000,ImdStatus,1
MSCSettings,1698828525000000000,isInitActivated,false
MSCSettings,1698828528000000000,isNormalOPActivated,true
MSCSettings,1698828532000000000,turbineCount,15
MSCSettings,1698828534000000000,turbineSchema,x0111111111111111
MSCSettings,1698828704000000000,isBrakeArray,x22222222
MSCSettings,1698828764000000000,isBrakeArray,x2222222222222222
MSCSettings,1698828837000000000,EmergencySwitchStatus,0
MSCSettings,1698828839000000000,ImdStatus,0
MSCSettings,1698828888000000000,isNormalOPActivated,false
MSCSettings,1698828945000000000,isInitActivated,true
MSCSettings,1698828952000000000,turbineCount,0
MSCSettings,1698828954000000000,turbineSchema,x0000000000000000
MSCSettings,1698829696000000000,StandbyModeDeactivatorTimePeriod,600000
MSCSettings,1698829697000000000,StormBlockerReleaseWindSpeed,15
MSCSettings,1698829699000000000,StormBlockerTimePeriod,180000
MSCSettings,1698829700000000000,T01_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698829701000000000,T02_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698829702000000000,T03_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698829704000000000,T04_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698829705000000000,T05_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698829706000000000,T06_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698829707000000000,T07_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698829709000000000,T08_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698829710000000000,T09_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698829711000000000,T10_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698829712000000000,T11_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698829714000000000,T12_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698829715000000000,T13_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698829716000000000,T14_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698829717000000000,T15_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698829719000000000,T16_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698829722000000000,hasMSCInternet,true
MSCSettings,1698829725000000000,isInitActivated,true
MSCSettings,1698829726000000000,isMSCActivated,true
MSCSettings,1698829730000000000,onlineCheck,1
MSCSettings,1698829733000000000,turbineCountMax,16
MSCSettings,1698829736000000000,EmergencySwitchStatus,0
MSCSettings,1698829739000000000,ImdStatus,0
MSCSettings,1698829740000000000,AnemometerValueAlarm,0
MSCSettings,1698829741000000000,UsbStickCheckerPassed,0
MSCSettings,1698829743000000000,userStopSchema,13/13/13/13/13/13/13/13/13/13/13/13/13/13/13/13
MSCSettings,1698829900000000000,VPNstate,true
MSCSettings,1698830938000000000,MOWEA_CLOUD_CLIENT_VERSION,1.6
MSCSettings,1698830940000000000,MOWEA_CLOUD_VERSION,1.4
MSCSettings,1698830941000000000,MSC_DB_VERSION,1.2.0
